Reconstruction lambda,SNR,Data length,MNSE
0.005,1000,60,7.541e-05
0.005,1000,70,2.0607e-05
0.005,1000,80,1.5733e-05
0.005,1000,90,1.2499e-05
0.005,1000,100,1.1877e-05
0.005,1000,1,1.0223
0.005,1000,10,22.3978
0.005,1000,20,7.3642
0.005,1000,30,8.5272
0.005,1000,40,0.74475
0.005,1000,50,0.65327
0.005,1000,60,0.0067329
0.005,1000,70,2.5335e-05
0.005,1000,80,2.1591e-05
0.005,1000,90,1.6941e-05
0.005,1000,100,1.544e-05
