Reconstruction lambda,SNR,Data points,Fisher information, RNMSE
0.005,0,3,4.908e-249,1.1758
0.005,0,4,3.9079e-220,1.0068
0.005,0,5,4.055e-201,0.00018818
0.005,0,6,3.0431e-187,0.00014355
0.005,0,7,5.0143e-171,0.0001096
0.005,0,8,4.7583e-157,0.00011167
0.005,0,9,3.6196e-143,0.00010892
0.005,0,10,2.6065e-133,0.00010581
0.005,0,1,0,1.0298
0.005,0,2,1.6415e-272,8.3195
0.005,0,3,4.3134e-244,1.0126
0.005,0,4,2.4209e-221,1.2415
0.005,0,5,2.8297e-204,1.0523
0.005,0,6,1.2673e-187,1.0975
0.005,0,7,4.1214e-171,0.00011153
0.005,0,8,1.7363e-155,2.4935e-05
0.005,0,9,6.9743e-141,1.5738e-05
0.005,0,10,2.0747e-126,1.1006e-05
0.005,0,1,0,1.0783
0.005,0,2,2.322e-279,1.0349
0.005,0,3,3.626e-251,1.0177
0.005,0,4,3.8313e-230,1.561
0.005,0,5,6.8062e-209,1.2503
0.005,0,6,3.7286e-189,7.4257e-05
0.005,0,7,2.7872e-172,6.0375e-05
0.005,0,8,1.2137e-156,5.0593e-05
0.005,0,9,6.1875e-141,3.7726e-05
0.005,0,10,1.6877e-126,1.8926e-05
0.005,0,1,0,1.0219
0.005,0,2,9.3773e-270,2.5484
0.005,0,3,4.5095e-244,1.1975
0.005,0,4,1.0368e-221,1.1084
0.005,0,5,6.1338e-204,1.1089
0.005,0,6,3.1783e-187,7.537e-05
0.005,0,7,4.6e-172,7.394e-05
0.005,0,8,2.2845e-157,1.9545e-05
0.005,0,9,2.1225e-142,2.478e-05
0.005,0,10,1.6765e-128,1.92e-05
0.005,0,1,0,1.0534
0.005,0,2,1.5463e-274,52.3165
0.005,0,3,1.5854e-243,1.0028
0.005,0,4,3.0107e-222,1.3728
0.005,0,5,2.1341e-203,1.2944
0.005,0,6,2.0959e-186,2.2902e-05
0.005,0,7,2.8518e-170,2.27e-05
0.005,0,8,4.3013e-156,1.9313e-05
0.005,0,9,1.191e-140,2.247e-05
0.005,0,10,3.7773e-126,2.2268e-05
0.005,0,1,0,1.0335
0.005,0,2,1.7319e-278,49.2223
0.005,0,3,3.6794e-247,1.0371
0.005,0,4,2.8766e-224,1.4545
0.005,0,5,3.4133e-205,0.82905
0.005,0,6,3.3769e-188,3.3444e-05
0.005,0,7,8.0275e-172,3.1297e-05
0.005,0,8,1.9641e-156,3.1336e-05
0.005,0,9,3.6253e-141,3.0052e-05
0.005,0,10,4.0472e-127,2.9228e-05
0.005,0,1,0,1.0408
0.005,0,2,1.4035e-278,104.5718
0.005,0,3,2.4418e-246,1.0342
0.005,0,4,3.0855e-223,1.2424
0.005,0,5,4.6432e-205,1.2048
0.005,0,6,1.4465e-187,1.2527
0.005,0,7,6.6405e-172,4.1439e-05
0.005,0,8,3.8782e-156,4.1571e-05
0.005,0,9,5.6561e-141,3.8578e-05
0.005,0,10,2.7013e-126,1.4954e-05
0.005,0,1,0,1.0504
0.005,0,2,6.8577e-276,132.4542
0.005,0,3,6.6702e-245,1.0077
0.005,0,4,3.7861e-222,1.0109
0.005,0,5,4.4656e-204,4.4012e-05
0.005,0,6,2.1116e-187,4.31e-05
0.005,0,7,4.0511e-171,3.2771e-05
0.005,0,8,6.3665e-157,2.5355e-05
0.005,0,9,4.9144e-141,1.7406e-05
0.005,0,10,3.5858e-126,1.5167e-05
0.005,0,1,0,1.0469
0.005,0,2,1.2408e-267,2.1431
0.005,0,3,3.9905e-243,2.0397
0.005,0,4,3.6887e-221,1.0555
0.005,0,5,2.7837e-203,0.84976
0.005,0,6,2.13e-186,2.5334e-05
0.005,0,7,7.7559e-171,1.7429e-05
0.005,0,8,2.8993e-155,1.5648e-05
0.005,0,9,1.9446e-140,1.2328e-05
0.005,0,10,4.0644e-126,1.4477e-05
0.005,0,1,0,1.0298
0.005,0,2,3.6906e-274,25.7719
0.005,0,3,3.2613e-247,2.844
0.005,0,4,6.0591e-222,1.2745
0.005,0,5,1.0539e-204,1.1836
0.005,0,6,8.297e-188,1.3184
0.005,0,7,3.6822e-172,1.3282
0.005,0,8,5.2573e-157,5.2555e-05
0.005,0,9,1.0387e-141,4.9455e-05
0.005,0,10,9.5733e-128,5.3069e-05
0.005,0,1,0,1.0479
0.005,0,2,2.83e-278,1.1755
0.005,0,3,1.2323e-250,1.0435
0.005,0,4,1.1689e-227,1.1121
0.005,0,5,6.5985e-207,0.7764
0.005,0,6,3.7069e-190,5.365e-05
0.005,0,7,3.0356e-173,3.2424e-05
0.005,0,8,1.1918e-157,2.8311e-05
0.005,0,9,5.4541e-142,2.6569e-05
0.005,0,10,3.2296e-128,2.481e-05
0.005,0,1,0,1.0187
0.005,0,2,8.1771e-266,1.0592
0.005,0,3,2.1752e-240,1.0669
0.005,0,4,1.6145e-221,1.6089
0.005,0,5,3.2353e-203,0.66515
0.005,0,6,3.3643e-187,3.3506e-05
0.005,0,7,2.7887e-170,1.4288e-05
0.005,0,8,5.1358e-156,1.2977e-05
0.005,0,9,3.3734e-140,1.2767e-05
0.005,0,10,1.8546e-126,1.2276e-05
0.005,0,1,0,1.0686
0.005,0,2,1.1638e-279,231.1307
0.005,0,3,4.0628e-246,1.0087
0.005,0,4,9.2511e-222,1.6516
0.005,0,5,2.208e-204,1.0698
0.005,0,6,8.6307e-188,0.72753
0.005,0,7,1.7325e-171,8.1624e-05
0.005,0,8,5.8416e-156,7.43e-05
0.005,0,9,2.0008e-141,2.3469e-05
